"blas multithreaded","tamano","threads","seg","icc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","icc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos"
,250,1,0.020506,,250,1,1,0.017706,,250,1,1,0.02,,250,1,4,0.01,,250,1,4,0.02
,250,2,0.004147,,250,1,1,0.005855,,250,1,1,0.01,,250,1,4,0.00,,250,1,4,0.00
,250,3,0.002889,,250,1,2,0.004242,,250,1,2,0.00,,250,1,8,0.02,,250,1,8,0.01
,250,4,0.002294,,250,1,2,0.003708,,250,1,2,0.00,,250,1,8,0.00,,250,1,8,0.00
,250,5,0.001981,,250,1,3,0.002923,,250,1,3,0.00,,250,1,12,0.02,,250,1,12,0.02
,250,6,0.001870,,250,1,3,0.002549,,250,1,3,0.00,,250,1,12,0.01,,250,1,12,0.00
,250,7,0.001756,,250,1,4,0.002358,,250,1,4,0.00,,250,1,16,0.02,,250,1,16,0.02
,250,8,0.001571,,250,1,4,0.001958,,250,1,4,0.00,,250,1,16,0.01,,250,1,16,0.00
,250,9,0.001645,,250,1,5,0.002052,,250,1,5,0.00,,250,1,20,0.02,,250,1,20,0.02
,250,10,0.001433,,250,1,5,0.001646,,250,1,5,0.00,,250,1,20,0.00,,250,1,20,0.00
,250,11,0.001563,,250,1,6,0.001967,,250,1,6,0.00,,250,1,24,0.01,,250,1,24,0.02
,250,12,0.001617,,250,1,6,0.001534,,250,1,6,0.00,,250,1,24,0.00,,250,1,24,0.00
,250,13,0.001562,,250,1,7,0.001821,,250,1,7,0.00,,250,1,28,0.02,,250,1,28,0.01
,250,14,0.001622,,250,1,7,0.001421,,250,1,7,0.00,,250,1,28,0.00,,250,1,28,0.00
,250,15,0.001553,,250,1,8,0.001661,,250,1,8,0.00,,250,1,32,0.02,,250,1,32,0.02
,250,16,0.001638,,250,1,8,0.001243,,250,1,8,0.00,,250,1,32,0.00,,250,1,32,0.00
,250,17,0.007039,,250,1,9,0.001852,,250,1,9,0.00,,250,1,36,0.02,,250,1,36,0.02
,250,18,0.002287,,250,1,9,0.001269,,250,1,9,0.00,,250,1,36,0.00,,250,1,36,0.00
,250,19,0.001896,,250,1,10,0.001540,,250,1,10,0.00,,250,1,40,0.02,,250,1,40,0.01
,250,20,0.001671,,250,1,10,0.001066,,250,1,10,0.00,,250,1,40,0.00,,250,1,40,0.00
,250,21,0.001901,,250,1,11,0.001633,,250,1,11,0.00,,250,1,44,0.01,,250,1,44,0.00
,250,22,0.001777,,250,1,11,0.001188,,250,1,11,0.00,,250,1,44,0.00,,250,1,44,0.00
,250,23,0.002016,,250,1,12,0.001668,,250,1,12,0.00,,250,1,48,0.00,,250,1,48,0.00
,250,24,0.001807,,250,1,12,0.001202,,250,1,12,0.00,,250,1,48,0.00,,250,1,48,0.00
,250,25,0.001696,,250,1,13,0.001594,,250,1,13,0.00,,250,1,52,0.01,,250,1,52,0.01
,250,26,0.002058,,250,1,13,0.001152,,250,1,13,0.00,,250,1,52,0.00,,250,1,52,0.00
,250,27,0.001860,,250,1,14,0.001710,,250,1,14,0.00,,250,1,56,0.01,,250,1,56,0.01
,250,28,0.002333,,250,1,14,0.001228,,250,1,14,0.00,,250,1,56,0.00,,250,1,56,0.00
,250,29,0.002153,,250,1,15,0.001647,,250,1,15,0.00,,250,1,60,0.01,,250,1,60,0.01
,250,30,0.001939,,250,1,15,0.001132,,250,1,15,0.00,,250,1,60,0.00,,250,1,60,0.00
,250,31,0.002001,,250,1,16,0.001710,,250,1,16,0.00,,250,1,64,0.01,,250,1,64,0.01
,250,32,0.002279,,250,1,16,0.001225,,250,1,16,0.00,,250,1,64,0.00,,250,1,64,0.00
,250,33,0.002343,,250,1,17,0.013516,,250,1,17,0.01,,250,2,2,0.00,,250,2,2,0.00
,250,34,0.002572,,250,1,17,0.001122,,250,1,17,0.00,,250,2,2,0.01,,250,2,2,0.01
,250,35,0.002597,,250,1,18,0.013320,,250,1,18,0.02,,250,2,4,0.00,,250,2,4,0.00
,250,36,0.003417,,250,1,18,0.001166,,250,1,18,0.00,,250,2,4,0.01,,250,2,4,0.01
,250,37,0.002640,,250,1,19,0.001598,,250,1,19,0.00,,250,2,6,0.00,,250,2,6,0.00
,250,38,0.002630,,250,1,19,0.000995,,250,1,19,0.00,,250,2,6,0.01,,250,2,6,0.01
,250,39,0.002551,,250,1,20,0.001744,,250,1,20,0.00,,250,2,8,0.00,,250,2,8,0.00
,250,40,0.002627,,250,1,20,0.001178,,250,1,20,0.00,,250,2,8,0.01,,250,2,8,0.01
,250,41,0.002794,,250,1,21,0.001958,,250,1,21,0.00,,250,2,10,0.00,,250,2,10,0.00
,250,42,0.003342,,250,1,21,0.001393,,250,1,21,0.00,,250,2,10,0.01,,250,2,10,0.01
,250,43,0.003320,,250,1,22,0.001826,,250,1,22,0.00,,250,2,12,0.00,,250,2,12,0.00
,250,44,0.003204,,250,1,22,0.001317,,250,1,22,0.00,,250,2,12,0.01,,250,2,12,0.01
,250,45,0.003183,,250,1,23,0.002131,,250,1,23,0.00,,250,2,14,0.00,,250,2,14,0.00
,250,46,0.003071,,250,1,23,0.001519,,250,1,23,0.00,,250,2,14,0.01,,250,2,14,0.01
,250,47,0.003179,,250,1,24,0.001941,,250,1,24,0.00,,250,2,16,0.00,,250,2,16,0.00
