"blas multithreaded","tamano","threads","seg","icc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+mkl","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","icc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos","gcc omp+atlas","tamano","threads omp","threads mkl: sin ajuste dinamico/con ajuste","segundos"
,,,,,5000,1,1,41.161749,,,,,,,,,,,,,,,
,,,,,5000,1,1,41.157741,,,,,,,,,,,,,,,
,,,,,5000,1,2,20.594621,,,,,,,,,,,,,,,
,,,,,5000,1,2,20.593895,,,,,,,,,,,,,,,
,,,,,5000,1,3,13.935102,,,,,,,,,,,,,,,
,,,,,5000,1,3,13.926603,,,,,,,,,,,,,,,
,,,,,5000,1,4,10.402882,,,,,,,,,,,,,,,
,,,,,5000,1,4,10.377385,,,,,,,,,,,,,,,
,,,,,5000,1,5,8.304178,,,,,,,,,,,,,,,
,,,,,5000,1,5,8.300193,,,,,,,,,,,,,,,
,,,,,5000,1,6,6.933696,,,,,,,,,,,,,,,
,,,,,5000,1,6,6.927208,,,,,,,,,,,,,,,
,,,,,5000,1,7,5.977068,,,,,,,,,,,,,,,
,,,,,5000,1,7,5.980398,,,,,,,,,,,,,,,
,,,,,5000,1,8,5.238205,,,,,,,,,,,,,,,
,,,,,5000,1,8,5.201470,,,,,,,,,,,,,,,
,,,,,5000,1,9,4.684101,,,,,,,,,,,,,,,
,,,,,5000,1,9,4.669757,,,,,,,,,,,,,,,
,,,,,5000,1,10,4.166796,,,,,,,,,,,,,,,
,,,,,5000,1,10,4.165678,,,,,,,,,,,,,,,
,,,,,5000,1,11,3.857495,,,,,,,,,,,,,,,
,,,,,5000,1,11,3.831883,,,,,,,,,,,,,,,
,,,,,5000,1,12,3.569437,,,,,,,,,,,,,,,
,,,,,5000,1,12,3.551072,,,,,,,,,,,,,,,
,,,,,5000,1,13,3.299856,,,,,,,,,,,,,,,
,,,,,5000,1,13,3.272815,,,,,,,,,,,,,,,
,,,,,5000,1,14,3.086359,,,,,,,,,,,,,,,
,,,,,5000,1,14,3.013241,,,,,,,,,,,,,,,
,,,,,5000,1,15,2.870028,,,,,,,,,,,,,,,
,,,,,5000,1,15,2.833782,,,,,,,,,,,,,,,
,,,,,5000,1,16,2.703602,,,,,,,,,,,,,,,
,,,,,5000,1,16,2.687491,,,,,,,,,,,,,,,
,,,,,5000,1,17,2.524575,,,,,,,,,,,,,,,
,,,,,5000,1,17,2.510413,,,,,,,,,,,,,,,
,,,,,5000,1,18,2.527019,,,,,,,,,,,,,,,
,,,,,5000,1,18,2.521617,,,,,,,,,,,,,,,
,,,,,5000,1,19,2.438995,,,,,,,,,,,,,,,
,,,,,5000,1,19,2.436766,,,,,,,,,,,,,,,
,,,,,5000,1,20,2.151157,,,,,,,,,,,,,,,
,,,,,5000,1,20,2.114435,,,,,,,,,,,,,,,
,,,,,5000,1,21,2.050640,,,,,,,,,,,,,,,
,,,,,5000,1,21,2.027270,,,,,,,,,,,,,,,
,,,,,5000,1,22,2.004208,,,,,,,,,,,,,,,
,,,,,5000,1,22,1.974364,,,,,,,,,,,,,,,
,,,,,5000,1,23,1.936383,,,,,,,,,,,,,,,
,,,,,5000,1,23,1.921859,,,,,,,,,,,,,,,
,,,,,5000,1,24,1.846766,,,,,,,,,,,,,,,
,,,,,5000,1,24,1.838187,,,,,,,,,,,,,,,
,,,,,5000,1,25,1.731878,,,,,,,,,,,,,,,
,,,,,5000,1,25,1.717226,,,,,,,,,,,,,,,
,,,,,5000,1,26,1.742745,,,,,,,,,,,,,,,
,,,,,5000,1,26,1.727163,,,,,,,,,,,,,,,
,,,,,5000,1,27,1.662485,,,,,,,,,,,,,,,
,,,,,5000,1,27,1.665347,,,,,,,,,,,,,,,
,,,,,5000,1,28,1.708858,,,,,,,,,,,,,,,
,,,,,5000,1,28,1.705770,,,,,,,,,,,,,,,
,,,,,5000,1,29,1.671400,,,,,,,,,,,,,,,
,,,,,5000,1,29,1.681268,,,,,,,,,,,,,,,
,,,,,5000,1,30,1.723234,,,,,,,,,,,,,,,
,,,,,5000,1,30,1.694056,,,,,,,,,,,,,,,
,,,,,5000,1,31,1.674078,,,,,,,,,,,,,,,
,,,,,5000,1,31,1.662531,,,,,,,,,,,,,,,
,,,,,5000,1,32,1.621826,,,,,,,,,,,,,,,
,,,,,5000,1,32,1.628512,,,,,,,,,,,,,,,
,,,,,5000,1,33,1.628927,,,,,,,,,,,,,,,
,,,,,5000,1,33,1.632086,,,,,,,,,,,,,,,
,,,,,5000,1,34,1.654229,,,,,,,,,,,,,,,
,,,,,5000,1,34,1.654380,,,,,,,,,,,,,,,
,,,,,5000,1,35,1.735928,,,,,,,,,,,,,,,
,,,,,5000,1,35,1.713250,,,,,,,,,,,,,,,
,,,,,5000,1,36,1.756163,,,,,,,,,,,,,,,
,,,,,5000,1,36,1.743904,,,,,,,,,,,,,,,
,,,,,5000,1,37,1.689536,,,,,,,,,,,,,,,
,,,,,5000,1,37,1.680016,,,,,,,,,,,,,,,
,,,,,5000,1,38,1.704858,,,,,,,,,,,,,,,
,,,,,5000,1,38,1.687682,,,,,,,,,,,,,,,
,,,,,5000,1,39,1.221487,,,,,,,,,,,,,,,
,,,,,5000,1,39,1.199403,,,,,,,,,,,,,,,
,,,,,5000,1,40,1.147240,,,,,,,,,,,,,,,
,,,,,5000,1,40,1.148196,,,,,,,,,,,,,,,
,,,,,5000,1,41,1.433911,,,,,,,,,,,,,,,
,,,,,5000,1,41,1.433211,,,,,,,,,,,,,,,
,,,,,5000,1,42,1.119130,,,,,,,,,,,,,,,
,,,,,5000,1,42,1.080303,,,,,,,,,,,,,,,
