"M","#N_rows","K","N. FLOPS","GPU [No A Transf]","GPU [With A Transf]","CPU - 1 Core",,,"#Batches","Batch Size","#N_rows"
4096,16,4096,805306368,0.0103972000,0.0785621000,0.0915822000,,,1,16,16
4096,32,4096,1610612736,0.0189071000,0.0720367000,0.1415481000,,,2,16,32
4096,48,4096,2415919104,0.0237719000,0.0769439000,0.1879317000,,,3,16,48
4096,64,4096,3221225472,0.0317699000,0.0847411000,0.2335830000,,,4,16,64
4096,80,4096,4026531840,0.0368348000,0.0897422000,0.2808939000,,,5,16,80
4096,96,4096,4831838208,0.0447950000,0.0978610000,0.3288578000,,,6,16,96
4096,112,4096,5637144576,0.0497484000,0.1027389000,0.3767340000,,,7,16,112
4096,128,4096,6442450944,0.0596740000,0.1126589000,0.4251357000,,,8,16,128
4096,144,4096,7247757312,0.0653473000,0.1183099000,0.4734236000,,,9,16,144
4096,160,4096,8053063680,0.0725097000,0.1254310000,0.5214685000,,,10,16,160
4096,176,4096,8858370048,0.0785420000,0.1315612000,0.5706195000,,,11,16,176
4096,192,4096,9663676416,0.0856192000,0.1384676000,0.6185338000,,,12,16,192
4096,208,4096,10468982784,0.0912365000,0.1442048000,0.6669415000,,,13,16,208
4096,224,4096,11274289152,0.0984567000,0.1513172000,0.7155080000,,,14,16,224
4096,240,4096,12079595520,0.1040181000,0.1568555000,0.7640379000,,,15,16,240
4096,256,4096,12884901888,0.1135520000,0.1663661000,0.8124618000,,,16,16,256
4096,272,4096,13690208256,0.1216480000,0.1746639000,0.8612048000,,,17,16,272
4096,288,4096,14495514624,0.1267484000,0.1797374000,0.9095524000,,,18,16,288
4096,304,4096,15300820992,0.1346510000,0.1875469000,0.9584437000,,,19,16,304
4096,320,4096,16106127360,0.1396032000,0.1924859000,1.0067283000,,,20,16,320
4096,336,4096,16911433728,0.1477186000,0.2005830000,1.0557232000,,,21,16,336
4096,352,4096,17716740096,0.1527393000,0.2054817000,1.1045064000,,,22,16,352
4096,368,4096,18522046464,0.1623936000,0.2151325000,1.1529168000,,,23,16,368
4096,384,4096,19327352832,0.1681527000,0.2211209000,1.2016422000,,,24,16,384
4096,400,4096,20132659200,0.1754479000,0.2282185000,1.2504714000,,,25,16,400
4096,416,4096,20937965568,0.1814610000,0.2341716000,1.2990182000,,,26,16,416
4096,432,4096,21743271936,0.1881843000,0.2410123000,1.3478926000,,,27,16,432
4096,448,4096,22548578304,0.1941859000,0.2470092000,1.3963449000,,,28,16,448
